understat_id,date,league,home,away,minute,score_home,score_away,current_total_goals,goal_before_ft,p_goal_before_ft
29097,2026-04-11,EPL,Liverpool,Fulham,40,2,0,2,0,0.9143905353952628
29797,2026-04-11,Ligue_1,Rennes,Angers,40,1,0,1,1,0.9111443779410652
29095,2026-04-12,EPL,Chelsea,Manchester City,40,0,0,0,1,0.9041246371932048
29793,2026-04-12,Ligue_1,Lyon,Lorient,40,0,0,0,1,0.8814397525256168
29795,2026-04-12,Ligue_1,Nice,Le Havre,40,0,1,1,1,0.8943394351740074
29800,2026-04-17,Ligue_1,Lens,Toulouse,40,0,2,2,1,0.8809598687415994
30485,2026-04-18,Bundesliga,Bayer Leverkusen,Augsburg,40,1,1,2,1,0.9008149199733374
30490,2026-04-18,Bundesliga,Hoffenheim,Borussia Dortmund,40,0,0,0,1,0.939992371878598
30492,2026-04-18,Bundesliga,Union Berlin,Wolfsburg,40,0,1,1,1,0.8819816207406816
30493,2026-04-18,Bundesliga,Werder Bremen,Hamburger SV,40,1,1,2,1,0.8784059952304613
29099,2026-04-18,EPL,Brentford,Fulham,40,0,0,0,0,0.878867592084612
29100,2026-04-18,EPL,Chelsea,Manchester United,42,0,1,1,0,0.8075091113951969
29105,2026-04-18,EPL,Newcastle United,Bournemouth,40,0,1,1,1,0.910389030898207
29801,2026-04-18,Ligue_1,Lille,Nice,40,0,0,0,0,0.904782344938364
29802,2026-04-18,Ligue_1,Lorient,Marseille,40,1,0,1,1,0.9245982428758364
30486,2026-04-19,Bundesliga,Bayern Munich,VfB Stuttgart,40,3,1,4,1,0.8939706334041233
30489,2026-04-19,Bundesliga,Freiburg,FC Heidenheim,40,1,0,1,1,0.8967607067062651
29098,2026-04-19,EPL,Aston Villa,Sunderland,40,2,1,3,1,0.8056775169519289
29106,2026-04-19,EPL,Nottingham Forest,Burnley,40,0,0,0,1,0.9021324136784846
29803,2026-04-19,Ligue_1,Metz,Paris FC,40,1,1,2,1,0.9012055423892018
29804,2026-04-19,Ligue_1,Monaco,Auxerre,40,0,2,2,1,0.8824013681886984
29807,2026-04-19,Ligue_1,Strasbourg,Rennes,40,0,1,1,1,0.8728925114448576
30500,2026-04-24,Bundesliga,RasenBallsport Leipzig,Union Berlin,40,2,0,2,1,0.8894879674417969
29115,2026-04-24,EPL,Sunderland,Nottingham Forest,40,0,3,3,1,0.8819196801983583
30494,2026-04-25,Bundesliga,Augsburg,Eintracht Frankfurt,40,0,0,0,1,0.8750556874361058
30496,2026-04-25,Bundesliga,FC Cologne,Bayer Leverkusen,40,0,0,0,1,0.8166506488057115
30497,2026-04-25,Bundesliga,Hamburger SV,Hoffenheim,40,1,1,2,1,0.9088889185320758
30502,2026-04-25,Bundesliga,Wolfsburg,Borussia M.Gladbach,40,0,0,0,0,0.8597771432246896
29109,2026-04-25,EPL,Arsenal,Newcastle United,40,1,0,1,0,0.9073266090983936
29112,2026-04-25,EPL,Fulham,Aston Villa,40,0,0,0,1,0.8492492946844564
29113,2026-04-25,EPL,Liverpool,Crystal Palace,40,2,0,2,1,0.9001805570265595
29812,2026-04-25,Ligue_1,Lyon,Auxerre,40,1,1,2,1,0.8910031449016839
29816,2026-04-25,Ligue_1,Toulouse,Monaco,40,0,2,2,1,0.8778858456598706
30495,2026-04-26,Bundesliga,Borussia Dortmund,Freiburg,40,3,0,3,1,0.8663980573443814
30501,2026-04-26,Bundesliga,VfB Stuttgart,Werder Bremen,40,0,1,1,1,0.8904180132181775
29810,2026-04-26,Ligue_1,Le Havre,Metz,40,2,1,3,1,0.8946041494361969
29811,2026-04-26,Ligue_1,Lorient,Strasbourg,40,1,0,1,1,0.902360733341123
29813,2026-04-26,Ligue_1,Marseille,Nice,40,0,0,0,1,0.8970460081132698
29814,2026-04-26,Ligue_1,Paris FC,Lille,40,0,1,1,0,0.90927461605882
29815,2026-04-26,Ligue_1,Rennes,Nantes,40,1,1,2,1,0.9061114929618048
29114,2026-04-27,EPL,Manchester United,Brentford,40,1,0,1,1,0.8458464069301697
30503,2026-05-02,Bundesliga,Bayer Leverkusen,RasenBallsport Leipzig,40,1,0,1,1,0.8986101571234273
30504,2026-05-02,Bundesliga,Bayern Munich,FC Heidenheim,40,0,2,2,1,0.921839858424786
30506,2026-05-02,Bundesliga,Eintracht Frankfurt,Hamburger SV,40,0,0,0,1,0.9275730740044614
30508,2026-05-02,Bundesliga,Hoffenheim,VfB Stuttgart,40,2,1,3,1,0.8825632677429129
30511,2026-05-02,Bundesliga,Werder Bremen,Augsburg,40,0,1,1,1,0.892953358750329
29127,2026-05-02,EPL,Wolverhampton Wanderers,Sunderland,40,0,1,1,1,0.8178165745901971
29488,2026-05-02,La_liga,Osasuna,Barcelona,40,0,0,0,1,0.9068641267999022
29495,2026-05-02,La_liga,Valencia,Atletico Madrid,40,0,0,0,1,0.8402284320307142
30505,2026-05-03,Bundesliga,Borussia M.Gladbach,Borussia Dortmund,40,0,0,0,1,0.869913360947899
30507,2026-05-03,Bundesliga,Freiburg,Wolfsburg,40,0,0,0,1,0.9104923032668072
30509,2026-05-03,Bundesliga,St. Pauli,Mainz 05,40,0,2,2,1,0.8566132972252823
29118,2026-05-03,EPL,Bournemouth,Crystal Palace,40,1,0,1,1,0.8003923795725315
29125,2026-05-03,EPL,Manchester United,Liverpool,40,2,0,2,1,0.8454516432205843
29493,2026-05-03,La_liga,Celta Vigo,Elche,40,2,0,2,1,0.8954312332965465
