match_id,date,league,season,home,away,minute,score_home,score_away,current_total_goals,GOAL_FT,p,target,success,GOALS_REMAINING_2PLUS,HOME_GOAL_FT,AWAY_GOAL_FT
13978,2020-08-22 15:00:00,Ligue_1,2020/21,Dijon,Angers,40,0,1,1,0.0,0.8508214683131028,GOAL_FT,0,,,
13979,2020-08-22 19:00:00,Ligue_1,2020/21,Lille,Rennes,40,1,0,1,1.0,0.8039553632694952,GOAL_FT,1,,,
13982,2020-08-23 11:00:00,Ligue_1,2020/21,Monaco,Reims,40,0,2,2,1.0,0.8810342340968306,GOAL_FT,1,,,
13984,2020-08-23 15:00:00,Ligue_1,2020/21,Nice,Lens,40,1,1,2,1.0,0.8127730329678695,GOAL_FT,1,,,
13985,2020-08-23 13:00:00,Ligue_1,2020/21,Nimes,Brest,40,2,0,2,1.0,0.8239864669304701,GOAL_FT,1,,,
13987,2020-08-30 13:00:00,Ligue_1,2020/21,Angers,Bordeaux,40,0,2,2,0.0,0.8103858402732103,GOAL_FT,0,,,
13988,2020-08-30 19:00:00,Ligue_1,2020/21,Brest,Marseille,40,0,2,2,1.0,0.8026012288653646,GOAL_FT,1,,,
13990,2020-08-28 19:00:00,Ligue_1,2020/21,Lyon,Dijon,40,1,1,2,1.0,0.8644281562221418,GOAL_FT,1,,,
13992,2020-08-30 13:00:00,Ligue_1,2020/21,Nantes,Nimes,40,2,0,2,1.0,0.8448274924247686,GOAL_FT,1,,,
13994,2020-08-29 15:00:00,Ligue_1,2020/21,Rennes,Montpellier,40,0,0,0,1.0,0.826530338111624,GOAL_FT,1,,,
13995,2020-08-30 13:00:00,Ligue_1,2020/21,Saint-Etienne,Lorient,40,1,0,1,1.0,0.8059368939387903,GOAL_FT,1,,,
13996,2020-08-29 19:00:00,Ligue_1,2020/21,Strasbourg,Nice,40,0,1,1,1.0,0.818406140502007,GOAL_FT,1,,,
13997,2020-08-08 13:00:00,RFPL,2020/21,Khimki,CSKA Moscow,40,0,1,1,1.0,0.8204853886293921,GOAL_FT,1,,,
14001,2020-08-09 17:00:00,RFPL,2020/21,Spartak Moscow,PFC Sochi,40,2,1,3,1.0,0.8345052168759566,GOAL_FT,1,,,
14002,2020-08-10 14:00:00,RFPL,2020/21,Ural,Dinamo Moscow,40,0,1,1,1.0,0.832408368360881,GOAL_FT,1,,,
14003,2020-08-11 15:00:00,RFPL,2020/21,FC Rotor Volgograd,Zenit St. Petersburg,40,0,1,1,1.0,0.8333616336767089,GOAL_FT,1,,,
14004,2020-08-11 17:00:00,RFPL,2020/21,Rubin Kazan,Lokomotiv Moscow,40,0,2,2,0.0,0.8225561417172433,GOAL_FT,0,,,
14006,2020-08-14 16:00:00,RFPL,2020/21,PFC Sochi,Khimki,40,0,1,1,1.0,0.8232200587011655,GOAL_FT,1,,,
14008,2020-08-15 12:30:00,RFPL,2020/21,Rubin Kazan,Ural,40,1,1,2,0.0,0.8537583725582512,GOAL_FT,0,,,
14011,2020-08-15 16:00:00,RFPL,2020/21,Lokomotiv Moscow,FC Krasnodar,40,0,0,0,1.0,0.8103944670780602,GOAL_FT,1,,,
14012,2020-08-15 17:00:00,RFPL,2020/21,FC Rostov,Zenit St. Petersburg,40,0,1,1,1.0,0.8302847366214001,GOAL_FT,1,,,
14013,2020-08-18 15:00:00,RFPL,2020/21,PFC Sochi,Rubin Kazan,43,1,0,1,1.0,0.823203554796094,GOAL_FT,1,,,
14015,2020-08-18 17:00:00,RFPL,2020/21,FC Krasnodar,Arsenal Tula,40,1,0,1,1.0,0.8076816669213991,GOAL_FT,1,,,
14016,2020-08-19 13:00:00,RFPL,2020/21,Ural,Lokomotiv Moscow,40,0,0,0,1.0,0.8048073353442309,GOAL_FT,1,,,
14017,2020-08-19 13:00:00,RFPL,2020/21,FC Ufa,Spartak Moscow,40,1,1,2,0.0,0.8220832085935169,GOAL_FT,0,,,
14019,2020-08-19 16:00:00,RFPL,2020/21,Dinamo Moscow,FC Rostov,41,1,0,1,1.0,0.8179285378623913,GOAL_FT,1,,,
14020,2020-08-19 17:00:00,RFPL,2020/21,Zenit St. Petersburg,CSKA Moscow,40,1,1,2,1.0,0.8047757882038115,GOAL_FT,1,,,
14024,2020-08-22 15:00:00,RFPL,2020/21,Zenit St. Petersburg,FC Tambov,40,1,0,1,1.0,0.8206635545181769,GOAL_FT,1,,,
14025,2020-08-22 17:00:00,RFPL,2020/21,CSKA Moscow,Rubin Kazan,40,1,1,2,1.0,0.8628499136754658,GOAL_FT,1,,,
14026,2020-08-22 17:00:00,RFPL,2020/21,FC Rotor Volgograd,PFC Sochi,40,0,1,1,1.0,0.8176955286976805,GOAL_FT,1,,,
14029,2020-08-25 15:30:00,RFPL,2020/21,FC Tambov,PFC Sochi,40,0,0,0,1.0,0.8112336974936871,GOAL_FT,1,,,
14030,2020-08-25 17:30:00,RFPL,2020/21,Arsenal Tula,Khimki,40,0,1,1,1.0,0.8105522453261745,GOAL_FT,1,,,
14031,2020-08-26 15:30:00,RFPL,2020/21,Rubin Kazan,FC Ufa,40,0,0,0,1.0,0.8088657965903685,GOAL_FT,1,,,
14032,2020-08-26 15:30:00,RFPL,2020/21,Lokomotiv Moscow,FK Akhmat,40,0,1,1,1.0,0.8085772489453614,GOAL_FT,1,,,
14033,2020-08-26 15:30:00,RFPL,2020/21,FC Rotor Volgograd,Spartak Moscow,40,0,0,0,1.0,0.8350810043212047,GOAL_FT,1,,,
14034,2020-08-26 17:30:00,RFPL,2020/21,FC Krasnodar,CSKA Moscow,40,0,1,1,1.0,0.819723217411969,GOAL_FT,1,,,
14036,2020-08-26 17:45:00,RFPL,2020/21,Dinamo Moscow,Zenit St. Petersburg,40,1,0,1,0.0,0.8037751331160703,GOAL_FT,0,,,
14038,2020-08-29 15:00:00,RFPL,2020/21,Spartak Moscow,Arsenal Tula,40,1,1,2,1.0,0.8269327030992943,GOAL_FT,1,,,
14042,2020-08-30 15:00:00,RFPL,2020/21,FK Akhmat,CSKA Moscow,40,0,1,1,1.0,0.8322849304422312,GOAL_FT,1,,,
14043,2020-08-30 17:00:00,RFPL,2020/21,FC Krasnodar,FC Rostov,40,0,0,0,1.0,0.8215575022828969,GOAL_FT,1,,,
14086,2020-09-12 11:30:00,EPL,2020/21,Fulham,Arsenal,40,0,1,1,1.0,0.8084928794695316,GOAL_FT,1,,,
14089,2021-01-20 20:00:00,EPL,2020/21,Manchester City,Aston Villa,40,0,0,0,1.0,0.8284202585539295,GOAL_FT,1,,,
14090,2020-09-12 16:30:00,EPL,2020/21,Liverpool,Leeds,40,3,2,5,1.0,0.862469595699752,GOAL_FT,1,,,
14091,2020-09-12 19:00:00,EPL,2020/21,West Ham,Newcastle United,40,0,0,0,1.0,0.8336729975477662,GOAL_FT,1,,,
14093,2020-09-13 15:30:00,EPL,2020/21,Tottenham,Everton,41,0,0,0,1.0,0.8129125034077581,GOAL_FT,1,,,
14095,2020-09-14 19:15:00,EPL,2020/21,Brighton,Chelsea,40,0,1,1,1.0,0.8179382049344431,GOAL_FT,1,,,
14096,2020-09-19 11:30:00,EPL,2020/21,Everton,West Bromwich Albion,40,1,1,2,1.0,0.8396914666382628,GOAL_FT,1,,,
14097,2020-09-19 14:00:00,EPL,2020/21,Leeds,Fulham,40,2,1,3,1.0,0.8655866429720344,GOAL_FT,1,,,
